,0,1
0,JT-Senior_min,120000.0
1,JT-Research_min,27996.0
2,JT-Senior_mean,141500.0
3,JT-Analyst_max,250000.0
4,JT-Data_Scientist_max,225000.0
5,JT-Data_Scientist_min,75000.0
6,JT-VP_min,122500.0
7,JT-Scientist_min,27996.0
8,JT-Scientist_max,225000.0
9,JT-VP_mean,190500.0
10,JT-VP_max,300000.0
11,JT-Python_mean,136785.714286
12,JT-Scientist_mean,86510.434185
13,JT-Senior_max,175000.0
14,JT-Manager_max,225000.0
15,JT-Manager_mean,83185.0835443
16,JT-Research_mean,40515.3878788
17,JT-Data_mean,130361.773055
18,JT-Manager_min,82329.0
19,JT-Data_max,300000.0
20,JT-Research_max,200000.0
21,JT-Python_max,185000.0
22,JT-Analyst_min,35000.0
23,JT-Data_Scientist_mean,137568.793578
24,JT-Data_min,30000.0
25,JT-Analyst_mean,89922.4302326
26,JT-Python_min,120000.0
